Monthly extreme water levels 
The values are in meters relative to the most recent Mean Higher High Water (MHHW) datum established by CO-OPS
"Column values are the Year, Month, and Monthly Extremes"
Product of NOAA's National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year,Month,MonthlyMaximaMHHW_meters
1978,Jul,0.294
1978,Aug,0.294
1978,Sep,0.572
1978,Oct,0.34
1978,Nov,0.306
1978,Dec,0.291
1979,Jan,0.38
1979,Feb,0.684
1979,Mar,0.133
1979,Apr,0.364
1979,May,0.102
1979,Jun,0.31
1979,Jul,0.218
1979,Aug,0.328
1979,Sep,0.395
1979,Oct,0.264
1979,Dec,0.337
1980,Jan,0.514
1980,Feb,0.185
1980,Mar,0.16
1980,Apr,0.261
1980,May,0.203
1980,Jun,0.145
1980,Jul,0.172
1980,Aug,0.337
1980,Sep,0.453
1980,Oct,1.05
1980,Nov,0.398
1980,Dec,0.05
1981,Jan,0.072
1981,Feb,0.069
1981,Mar,0.334
1981,Apr,-0.026
1981,May,0.538
1981,Jun,0.559
1981,Jul,0.23
1981,Aug,0.553
1981,Sep,0.377
1981,Oct,0.364
1981,Nov,0.812
1981,Dec,0.316
1982,Jan,0.227
1982,Feb,0.316
1982,Mar,0.279
1982,Apr,0.261
1982,May,0.419
1982,Jun,0.316
1982,Jul,0.322
1982,Aug,0.166
1982,Sep,0.297
1982,Oct,0.529
1982,Nov,0.273
1982,Dec,0.395
1983,Jan,0.678
1983,Feb,0.566
1983,Apr,0.313
1983,May,0.258
1983,Jun,0.249
1983,Jul,0.316
1983,Aug,0.386
1983,Sep,0.453
1983,Oct,0.678
1983,Nov,0.343
1983,Dec,0.508
1984,Feb,0.316
1984,Mar,0.614
1984,Apr,0.611
1984,May,0.261
1984,Jun,0.209
1984,Jul,0.267
1984,Aug,0.373
1984,Sep,0.431
1984,Oct,0.59
1984,Nov,0.267
1984,Dec,0.203
1985,Jan,0.242
1985,Feb,0.297
1985,Mar,0.111
1985,Apr,0.108
1985,May,0.486
1985,Jun,0.264
1985,Jul,0.392
1985,Aug,0.239
1985,Sep,0.578
1985,Oct,0.383
1985,Nov,0.602
1985,Dec,0.63
1986,Jan,0.245
1986,Feb,0.352
1986,Mar,0.05
1986,Apr,0.395
1986,May,0.392
1986,Jun,0.291
1986,Jul,0.334
1986,Aug,0.584
1986,Sep,0.2
1986,Oct,0.346
1986,Nov,0.401
1986,Dec,0.846
1987,Jan,0.815
1987,Mar,0.273
1987,Apr,0.639
1987,May,0.313
1987,Jun,0.221
1987,Jul,0.322
1987,Aug,0.355
1987,Sep,0.349
1987,Nov,0.438
1987,Dec,0.297
1988,Jan,0.313
1988,Feb,0.258
1988,Mar,0.191
1988,Apr,0.669
1988,May,0.316
1988,Jun,0.425
1988,Jul,0.136
1988,Aug,0.236
1988,Sep,0.313
1988,Oct,0.352
1988,Nov,0.325
1988,Dec,0.127
1989,Jan,0.358
1989,Feb,0.313
1989,Mar,0.532
1989,Apr,0.148
1989,May,0.175
1989,Jun,0.215
1989,Jul,0.279
1989,Aug,0.334
1989,Sep,0.593
1989,Oct,0.611
1989,Nov,0.215
1989,Dec,0.556
1990,Jan,0.148
1990,Feb,0.197
1990,Mar,0.319
1990,Apr,0.23
1990,May,0.41
1990,Jun,0.258
1990,Jul,0.191
1990,Aug,0.413
1990,Sep,0.355
1990,Oct,0.294
1990,Nov,0.306
1990,Dec,0.434
1991,Jan,0.364
1991,Feb,0.233
1991,Mar,0.27
1991,Apr,0.389
1991,May,0.419
1991,Jun,0.377
1991,Jul,0.297
1991,Aug,0.218
1991,Sep,0.346
1991,Oct,0.959
1991,Nov,0.815
1991,Dec,0.319
1992,Jan,1.239
1992,Feb,0.395
1992,Mar,0.279
1992,Apr,0.245
1992,May,0.55
1992,Jun,0.258
1992,Jul,0.453
1992,Oct,0.361
1992,Nov,0.438
1992,Dec,0.831
1993,Jan,0.809
1993,Feb,0.419
1993,Mar,0.538
1993,Apr,0.645
1993,May,0.276
1993,Jun,0.288
1993,Jul,0.255
1993,Aug,0.413
1993,Sep,0.453
1993,Oct,0.623
1993,Nov,0.447
1993,Dec,0.739
1994,Jan,0.581
1994,Feb,0.471
1994,Mar,0.977
1994,Apr,0.349
1994,May,0.401
1994,Jun,0.249
1994,Jul,0.139
1994,Aug,0.37
1994,Sep,0.575
1994,Oct,0.526
1994,Nov,0.748
1994,Dec,0.468
1995,Jan,0.296
1995,Feb,0.136
1995,Mar,0.215
1995,Apr,0.233
1995,May,0.383
1995,Jun,0.492
